print_product_type	size_id	designer_supported	proof_supported	render_mask	render_overlay	output_format	allow_multipage_output	trim_round_corner_radius	safe_round_corner_radius
10014	10166	2	2	0	0	0	0	0.75	0.75
10014	10195	2	2	0	0	0	0	0.75	0.75
10014	10186	2	2	0	0	0	0	0.75	0.75
10014	10177	2	2	0	0	0	0	0.75	0.75
10014	10202	2	2	1	1	0	0	0	0
10014	10167	2	2	0	0	0	0	0.75	0.75
10014	10196	2	2	0	0	0	0	0.75	0.75
10014	10187	2	2	0	0	0	0	0.75	0.75
10014	10178	2	2	0	0	0	0	0.75	0.75
10014	10204	2	2	0	0	0	0	0.75	0.75
10014	10170	2	2	0	0	0	0	0.75	0.75
10014	10198	2	2	0	0	0	0	0.75	0.75
10014	NULL	2	2	0	0	0	0	0	0
10014	10190	2	2	0	0	0	0	0.75	0.75
10014	10179	2	2	1	1	0	0	0	0
10014	10205	2	2	1	1	0	0	0	0
10014	10171	2	2	0	0	0	0	0.75	0.75
10014	10199	2	2	1	1	0	0	0	0
10014	10162	2	2	0	0	0	0	0.75	0.75
10014	10191	2	2	0	0	0	0	0.75	0.75
10014	10182	2	2	0	0	0	0	0.75	0.75
10014	10208	2	2	0	0	0	0	0.75	0.75
10014	10173	2	2	0	0	0	0	0.75	0.75
10014	10200	2	2	1	1	0	0	0	0
10014	10163	2	2	0	0	0	0	0.75	0.75
10014	10192	2	2	1	1	0	0	0	0
10014	10183	2	2	0	0	0	0	0.75	0.75
10014	10209	2	2	0	0	0	0	0.75	0.75
10015	10270	2	2	0	0	0	0	0.75	0.75
10015	NULL	2	2	0	0	0	0	0	0
10015	10217	2	2	0	0	0	0	0.75	0.75
10015	10224	2	2	1	1	0	0	0	0
10015	10232	2	2	0	0	0	0	0.75	0.75
10015	10240	2	2	0	0	0	0	0.75	0.75
10015	10246	2	2	0	0	0	0	0.75	0.75
10015	10251	2	2	1	1	0	0	0	0
10015	10258	2	2	0	0	0	0	0.75	0.75
10015	10216	2	2	0	0	0	0	0.75	0.75
10015	10223	2	2	0	0	0	0	0.75	0.75
10015	10229	2	2	1	1	0	0	0	0
10015	10237	2	2	0	0	0	0	0.75	0.75
10015	10245	2	2	0	0	0	0	0.75	0.75
10015	10250	2	2	1	1	0	0	0	0
10015	10255	2	2	1	1	0	0	0	0
10015	10213	2	2	0	0	0	0	0.75	0.75
10015	10221	2	2	0	0	0	0	0.75	0.75
10015	10228	2	2	0	0	0	0	0.75	0.75
10015	10236	2	2	0	0	0	0	0.75	0.75
10015	10242	2	2	1	1	0	0	0	0
